filename,split,num_boxes
2412.png,train,1
555.png,train,1
775.png,train,1
146.png,train,1
82.png,train,1
18.png,train,1
1720.png,train,1
378.png,train,1
2490.png,train,1
1254.png,train,1
2404.png,train,1
2306.png,train,1
2925.png,train,1
327.png,train,1
1382.png,train,1
603.png,train,1
59.png,train,1
1375.png,train,1
148.png,train,1
1095.png,train,1
1914.png,train,1
2183.png,train,1
552.png,train,1
161.png,train,1
1189.png,train,1
2136.png,train,1
1153.png,train,1
2394.png,train,1
2486.png,train,1
154.png,train,1
1222.png,train,1
1568.png,train,1
2037.png,train,1
2732.png,train,1
1835.png,train,1
2813.png,train,1
1980.png,train,1
2055.png,train,1
2770.png,train,1
1439.png,train,1
1897.png,train,1
2247.png,train,1
2783.png,train,1
296.png,train,1
934.png,train,1
177.png,train,1
1941.png,train,1
2818.png,train,1
142.png,train,1
1945.png,train,1
1603.png,train,1
850.png,train,1
3020.png,train,1
2557.png,train,1
180.png,train,1
1071.png,train,1
1349.png,train,1
1952.png,train,1
2572.png,train,1
203.png,train,1
2533.png,train,1
2356.png,train,1
2719.png,train,1
1235.png,train,1
2900.png,train,1
35.png,train,1
888.png,train,1
982.png,train,1
2389.png,train,1
714.png,train,1
2396.png,train,1
1831.png,train,1
750.png,train,1
2981.png,train,1
151.png,train,1
1128.png,train,1
2213.png,train,1
1620.png,train,1
1898.png,train,1
1963.png,train,1
501.png,train,1
2869.png,train,1
526.png,train,1
2030.png,train,1
2435.png,train,1
1699.png,train,1
274.png,train,1
109.png,train,1
1575.png,train,1
1348.png,train,1
1005.png,train,1
2773.png,train,1
2235.png,train,1
2980.png,train,1
2668.png,train,1
2411.png,train,1
2973.png,train,1
530.png,train,1
400.png,train,1
1602.png,train,1
1301.png,train,1
2811.png,train,1
1926.png,train,1
1764.png,train,1
2974.png,train,1
1320.png,train,1
2703.png,train,1
2926.png,train,1
1909.png,train,1
785.png,train,1
1596.png,train,1
2738.png,train,1
868.png,train,1
2948.png,train,1
2383.png,train,1
2673.png,train,1
517.png,train,1
1555.png,train,1
1542.png,train,1
2076.png,train,1
1278.png,train,1
1433.png,train,1
1541.png,train,1
1145.png,train,1
235.png,train,1
2325.png,train,1
2989.png,train,1
57.png,train,1
2296.png,train,1
860.png,train,1
2104.png,train,1
2821.png,train,1
2000.png,train,1
2096.png,train,1
2162.png,train,1
519.png,train,1
797.png,train,1
1744.png,train,1
