epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.9481,2.09452,3.34076,2.08361,0.74847,0.66433,0.74041,0.32995,1.826,1.67185,1.72571,0.000661376,0.000661376,0.000661376
2,91.2216,1.69273,1.85949,1.66094,0.36981,0.4907,0.33154,0.0969,2.33397,2.03259,2.12942,0.00131489,0.00131489,0.00131489
3,134.091,1.62929,1.42905,1.61601,0.84075,0.67528,0.78254,0.37757,1.72338,1.37379,1.58511,0.00195521,0.00195521,0.00195521
4,176.98,1.61743,1.25977,1.59353,0.71121,0.66977,0.74383,0.35225,1.72417,1.42749,1.66314,0.0019406,0.0019406,0.0019406
5,219.089,1.54761,1.12451,1.55855,0.85894,0.83551,0.89114,0.38632,1.80473,1.23084,1.63581,0.0019208,0.0019208,0.0019208
6,261.833,1.48948,1.05278,1.50774,0.8717,0.8374,0.91401,0.43637,1.59457,1.05753,1.47183,0.001901,0.001901,0.001901
7,305.432,1.43107,1.02592,1.46882,0.84841,0.83953,0.90475,0.46331,1.59217,1.05715,1.50264,0.0018812,0.0018812,0.0018812
8,348.098,1.38089,0.93319,1.42512,0.87986,0.8516,0.93604,0.50879,1.45945,0.88247,1.38426,0.0018614,0.0018614,0.0018614
9,390.804,1.38092,0.92881,1.41822,0.88884,0.89302,0.9354,0.52352,1.41856,0.88359,1.34764,0.0018416,0.0018416,0.0018416
10,434.421,1.33641,0.89674,1.38215,0.8952,0.8939,0.95445,0.54677,1.40317,0.81819,1.33044,0.0018218,0.0018218,0.0018218
11,476.946,1.33083,0.85801,1.37365,0.88333,0.91561,0.95611,0.52895,1.43892,0.78959,1.32566,0.001802,0.001802,0.001802
12,519.792,1.29733,0.84794,1.35105,0.88479,0.9,0.93194,0.45997,1.64376,0.88253,1.44444,0.0017822,0.0017822,0.0017822
13,562.402,1.29705,0.81722,1.34738,0.87468,0.90894,0.93293,0.4031,1.88295,0.8835,1.50374,0.0017624,0.0017624,0.0017624
14,604.998,1.28116,0.79663,1.34447,0.88312,0.89614,0.94353,0.52029,1.48444,0.82496,1.32963,0.0017426,0.0017426,0.0017426
15,647.674,1.25206,0.78954,1.32757,0.9053,0.90465,0.95248,0.46927,1.62091,0.81134,1.42048,0.0017228,0.0017228,0.0017228
16,690.4,1.24193,0.77665,1.31844,0.85641,0.87382,0.91912,0.45255,1.69165,0.8929,1.43454,0.001703,0.001703,0.001703
17,732.946,1.22589,0.76582,1.31223,0.90458,0.92598,0.96175,0.58711,1.29933,0.73974,1.28073,0.0016832,0.0016832,0.0016832
18,775.306,1.23563,0.74901,1.31001,0.92602,0.93151,0.97312,0.56468,1.43848,0.74167,1.31046,0.0016634,0.0016634,0.0016634
19,817.458,1.20669,0.73919,1.31187,0.92022,0.93488,0.9604,0.56367,1.3817,0.74929,1.28316,0.0016436,0.0016436,0.0016436
20,860.193,1.21251,0.71958,1.29434,0.91025,0.92326,0.95998,0.58979,1.32199,0.71709,1.27556,0.0016238,0.0016238,0.0016238
21,903.243,1.17945,0.68715,1.27181,0.93889,0.91628,0.96789,0.56917,1.39935,0.72001,1.30596,0.001604,0.001604,0.001604
22,946.75,1.15014,0.70479,1.2631,0.91359,0.92558,0.97346,0.53859,1.48013,0.72003,1.3073,0.0015842,0.0015842,0.0015842
23,989.402,1.18555,0.70415,1.26018,0.92252,0.94141,0.96409,0.59018,1.32838,0.68083,1.25558,0.0015644,0.0015644,0.0015644
24,1032.39,1.15578,0.69494,1.24847,0.9442,0.95116,0.98343,0.55309,1.47938,0.70579,1.29601,0.0015446,0.0015446,0.0015446
25,1075.41,1.14759,0.68074,1.25493,0.91484,0.95814,0.97661,0.53687,1.49605,0.70958,1.27654,0.0015248,0.0015248,0.0015248
26,1119.4,1.14051,0.66041,1.24985,0.91602,0.9386,0.97379,0.54139,1.47773,0.7088,1.28593,0.001505,0.001505,0.001505
27,1163.16,1.11418,0.63862,1.23803,0.92448,0.93943,0.97602,0.5833,1.33796,0.67438,1.24839,0.0014852,0.0014852,0.0014852
28,1206.21,1.11367,0.65238,1.23586,0.92398,0.9328,0.97244,0.61356,1.25664,0.6622,1.2266,0.0014654,0.0014654,0.0014654
29,1249.39,1.09857,0.64116,1.22452,0.95551,0.93721,0.97784,0.6217,1.22726,0.63467,1.23237,0.0014456,0.0014456,0.0014456
30,1292.6,1.07246,0.64585,1.22019,0.9375,0.93488,0.97994,0.62176,1.25334,0.63516,1.19889,0.0014258,0.0014258,0.0014258
31,1335.41,1.06167,0.61779,1.20806,0.91621,0.94186,0.97601,0.59368,1.3337,0.66309,1.23971,0.001406,0.001406,0.001406
32,1380.4,1.05398,0.61413,1.19232,0.94203,0.94473,0.97734,0.577,1.38699,0.65055,1.26061,0.0013862,0.0013862,0.0013862
33,1423.26,1.02351,0.61298,1.17981,0.89927,0.93429,0.96378,0.52706,1.54041,0.70405,1.31584,0.0013664,0.0013664,0.0013664
34,1466.62,1.04234,0.6074,1.19057,0.94545,0.92699,0.98176,0.61497,1.27857,0.62698,1.21704,0.0013466,0.0013466,0.0013466
35,1509.51,0.98959,0.58618,1.17378,0.95667,0.94651,0.98444,0.60719,1.28069,0.604,1.20776,0.0013268,0.0013268,0.0013268
36,1552.53,0.98837,0.58302,1.17131,0.95597,0.95947,0.98779,0.65611,1.11897,0.58613,1.15008,0.001307,0.001307,0.001307
