fname,detected,roi_confidence,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
2506.png,True,0.263,0,130,256,152,36,256,64,256,0.5681,0.5098,0.9226,0.5469,0.884,38.42,175.08,252.64,0.9604,0.9238,0.0,0.0,0.7134,0.5545,0.7347,0.5806,0.0,0.0,1.0,1.0
1531.png,True,0.2109,0,100,256,210,176,256,192,256,0.7906,0.761,0.9863,0.8085,0.9926,53.06,700.59,2770.73,0.9922,0.9846,0.7846,0.6455,0.0,0.0,1.0,1.0,0.967,0.9361,1.0,1.0
103.png,True,0.3094,0,86,246,168,132,256,160,256,0.5325,0.4532,0.937,0.6212,0.9692,40.06,377.97,2531.23,0.9704,0.9425,0.7018,0.5407,0.8177,0.6916,0.7051,0.5445,0.0,0.0,0.0,0.0
1594.png,True,0.0973,0,108,256,186,124,256,128,256,0.8529,0.7859,0.9782,0.92,0.9627,35.09,324.42,1401.91,0.9886,0.9774,0.4609,0.2994,0.8899,0.8016,0.7781,0.6368,1.0,1.0,1.0,1.0
2881.png,True,0.2575,0,60,250,160,160,256,160,256,0.9069,0.8393,0.9849,0.958,0.9939,34.45,349.15,1567.26,0.9913,0.9828,0.79,0.6529,0.848,0.7361,0.8542,0.7456,0.9575,0.9185,1.0,1.0
2007.png,True,0.3039,8,138,256,174,58,256,64,256,0.9246,0.8737,0.9395,0.9453,0.9699,39.35,165.82,1436.62,0.9639,0.9303,0.7672,0.6223,1.0,1.0,1.0,1.0,0.8164,0.6897,1.0,1.0
0.png,True,0.0504,8,8,248,112,143,256,160,256,0.7601,0.7302,0.9837,0.8078,0.9341,36.1,374.45,1858.26,0.9917,0.9835,0.569,0.3976,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1891.png,True,0.2397,30,138,160,174,58,156,64,160,0.7634,0.7284,0.9201,0.7536,0.8739,35.67,138.33,1932.75,0.9573,0.9181,0.623,0.4525,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1150.png,True,0.1445,0,130,256,198,108,256,128,256,0.7016,0.6311,0.9714,0.7516,0.9798,51.24,398.71,1611.99,0.9893,0.9789,0.8708,0.7711,0.7781,0.6368,0.5714,0.4,0.0,0.0,1.0,1.0
2267.png,True,0.0554,0,32,240,130,156,256,160,256,0.6426,0.6025,0.9774,0.6622,0.9075,34.13,349.43,2327.23,0.9884,0.9771,0.7135,0.5546,0.1535,0.0831,1.0,1.0,1.0,1.0,0.0,0.0
2960.png,True,0.132,0,110,254,184,118,256,128,256,0.6668,0.5902,0.9643,0.683,0.9426,34.97,295.57,1286.36,0.982,0.9646,0.7992,0.6656,0.7588,0.6113,0.461,0.2995,1.0,1.0,0.0,0.0
23.png,True,0.0895,2,78,214,140,100,235,128,256,0.9033,0.8492,0.9864,0.9232,0.9606,35.31,284.29,1505.33,0.993,0.9862,0.711,0.5515,0.7157,0.5573,1.0,1.0,1.0,1.0,1.0,1.0
1679.png,True,0.1518,0,118,256,168,80,256,96,256,0.6682,0.6218,0.9596,0.8052,0.9025,35.82,266.47,1622.36,0.979,0.9589,0.7648,0.6192,1.0,1.0,0.0,0.0,0.2653,0.1529,1.0,1.0
298.png,True,0.0509,0,50,256,178,204,256,224,256,0.8283,0.7465,0.9855,0.8616,0.9717,35.32,513.87,1569.43,0.9933,0.9867,0.725,0.5687,0.7168,0.5586,0.5346,0.3648,1.0,1.0,1.0,1.0
2879.png,True,0.2649,0,62,254,158,154,256,160,256,0.5181,0.4574,0.9742,0.7047,0.9888,36.07,371.84,1498.88,0.9858,0.9721,0.7731,0.6301,0.4121,0.2595,0.0,0.0,0.9377,0.8827,0.0,0.0
