fname,detected,roi_confidence,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
2506.png,True,0.263,0,130,256,152,36,256,64,256,0.5219,0.4468,0.8918,0.6273,0.8941,62.52,251.9,380.65,0.9458,0.8972,0.5927,0.4212,0.0,0.0,0.1649,0.0899,0.4282,0.2724,1.0,1.0
1531.png,True,0.2109,0,100,256,210,176,256,192,256,0.784,0.7529,0.9862,0.8079,0.9926,39.3,491.16,1478.77,0.992,0.9842,0.7406,0.588,0.0,0.0,1.0,1.0,0.9716,0.9449,1.0,1.0
103.png,True,0.3094,0,86,246,168,132,256,160,256,0.6459,0.5455,0.9514,0.7872,0.9888,36.11,400.92,1383.23,0.9709,0.9434,0.6821,0.5175,0.89,0.8017,0.747,0.5962,0.5855,0.4139,0.0,0.0
1594.png,True,0.0973,0,108,256,186,124,256,128,256,0.8095,0.7345,0.963,0.9713,0.9865,42.2,371.54,1386.56,0.9805,0.9617,0.3757,0.2313,0.6701,0.5039,0.8305,0.7102,1.0,1.0,1.0,1.0
2881.png,True,0.2575,0,60,250,160,160,256,160,256,0.8554,0.7679,0.9764,0.9599,0.994,40.89,423.23,1139.28,0.9862,0.9727,0.6894,0.5261,0.7462,0.5951,0.7711,0.6275,0.9395,0.886,1.0,1.0
2007.png,True,0.3039,8,138,256,174,58,256,64,256,0.9244,0.8767,0.9545,0.9634,0.9752,38.08,184.98,806.18,0.9731,0.9475,0.702,0.5408,1.0,1.0,1.0,1.0,0.8712,0.7718,1.0,1.0
0.png,True,0.0504,8,8,248,112,143,256,160,256,0.8822,0.8273,0.9823,0.9794,0.9907,37.2,375.21,1103.62,0.9909,0.982,0.5505,0.3798,0.7515,0.6019,1.0,1.0,1.0,1.0,1.0,1.0
1891.png,True,0.2397,30,138,160,174,58,156,64,160,0.8889,0.8309,0.9412,0.9136,0.9748,36.85,136.03,1056.36,0.9751,0.9514,0.6217,0.451,0.7366,0.583,1.0,1.0,1.0,1.0,1.0,1.0
1150.png,True,0.1445,0,130,256,198,108,256,128,256,0.8106,0.7084,0.9675,0.8435,0.9914,37.67,308.4,813.93,0.9847,0.9698,0.8215,0.6971,0.77,0.626,0.5714,0.4,0.7162,0.5579,1.0,1.0
2267.png,True,0.0554,0,32,240,130,156,256,160,256,0.8661,0.7902,0.9833,0.9089,0.972,38.35,368.54,760.59,0.9914,0.983,0.692,0.5291,0.8319,0.7122,1.0,1.0,1.0,1.0,0.6814,0.5168
2960.png,True,0.132,0,110,254,184,118,256,128,256,0.6972,0.6024,0.9493,0.8154,0.9686,61.26,485.99,1055.2,0.9763,0.9537,0.764,0.6181,0.7891,0.6517,0.3217,0.1917,1.0,1.0,0.3322,0.1992
23.png,True,0.0895,2,78,214,140,100,235,128,256,0.8467,0.7889,0.9713,0.9849,0.9868,61.33,497.29,1501.9,0.9851,0.9707,0.6295,0.4594,0.4653,0.3032,1.0,1.0,1.0,1.0,1.0,1.0
1679.png,True,0.1518,0,118,256,168,80,256,96,256,0.758,0.7092,0.9685,0.9539,0.9754,59.47,362.83,1862.66,0.9832,0.9669,0.7465,0.5955,1.0,1.0,0.0,0.0,0.8184,0.6927,1.0,1.0
298.png,True,0.0509,0,50,256,178,204,256,224,256,0.8827,0.81,0.986,0.953,0.9887,37.31,542.79,1741.22,0.9932,0.9864,0.7287,0.5732,0.755,0.6064,0.8192,0.6938,1.0,1.0,1.0,1.0
2879.png,True,0.2649,0,62,254,158,154,256,160,256,0.5294,0.4581,0.9438,0.7346,0.9868,36.5,362.23,833.91,0.9675,0.9371,0.8235,0.7,0.5247,0.3557,0.0,0.0,0.8609,0.7558,0.0,0.0
2814.png,True,0.3352,0,44,254,90,74,256,96,256,0.7104,0.5996,0.8994,0.7815,0.9789,41.0,251.19,841.42,0.9469,0.8991,0.4078,0.2561,0.7796,0.6388,0.4483,0.2889,0.6796,0.5147,1.0,1.0
