fname,detected,yolo_conf,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
2506.png,True,0.4468,0,114,254,160,52,256,64,256,0.6015,0.5571,0.9624,0.5937,0.9249,61.72,222.22,326.02,0.98,0.9608,0.7595,0.6122,0.8697,0.7694,0.0,0.0,0.0,0.0,1.0,1.0
1531.png,True,0.7496,0,87,256,225,158,256,160,256,0.7901,0.7611,0.9868,0.809,0.9928,55.7,514.7,1991.17,0.9925,0.985,0.772,0.6286,0.0,0.0,1.0,1.0,0.9759,0.9529,1.0,1.0
103.png,True,0.5923,0,81,256,178,111,256,128,256,0.5521,0.4779,0.9295,0.6265,0.9668,52.99,393.92,1757.91,0.9586,0.9205,0.7078,0.5477,0.8346,0.7161,0.8117,0.683,0.0,0.0,0.0,0.0
1594.png,True,0.5913,0,103,253,198,109,256,128,256,0.8535,0.788,0.9771,0.8891,0.9588,52.31,351.56,1789.22,0.9879,0.9761,0.4545,0.2941,0.9069,0.8296,0.7715,0.628,1.0,1.0,1.0,1.0
2881.png,True,0.8562,0,49,256,161,128,256,128,256,0.9039,0.8336,0.9767,0.9572,0.9885,81.21,490.79,1591.51,0.9859,0.9722,0.8014,0.6687,0.8268,0.7047,0.8666,0.7645,0.9426,0.8914,1.0,1.0
2007.png,True,0.3014,0,126,254,172,52,256,64,256,0.9065,0.8546,0.9449,0.8947,0.9681,100.6,319.02,2156.94,0.9668,0.9357,0.619,0.4483,1.0,1.0,1.0,1.0,0.853,0.7436,1.0,1.0
0.png,True,0.7026,0,0,254,118,126,256,128,256,0.7598,0.7296,0.9802,0.8204,0.943,52.22,348.41,2911.54,0.9899,0.98,0.5692,0.3978,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1891.png,True,0.6248,0,0,255,199,213,256,224,256,0.8825,0.8259,0.9904,0.8587,0.928,49.76,614.58,2021.06,0.9951,0.9903,0.6901,0.5269,0.6096,0.4384,1.0,1.0,1.0,1.0,1.0,1.0
1150.png,True,0.5389,0,105,255,204,113,256,128,256,0.8569,0.7663,0.979,0.8643,0.9809,49.48,309.56,1684.75,0.9896,0.9794,0.8442,0.7305,0.8585,0.7521,0.7317,0.5769,0.7173,0.5592,1.0,1.0
2267.png,True,0.7063,0,8,256,148,158,256,160,256,0.6147,0.5859,0.9765,0.646,0.9017,49.41,441.96,1823.58,0.988,0.9762,0.7004,0.5389,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
2960.png,True,0.4465,0,91,254,187,110,256,128,256,0.6245,0.5708,0.9665,0.6134,0.9484,53.28,327.48,1619.45,0.9835,0.9676,0.808,0.6778,0.8332,0.7141,0.1222,0.0651,1.0,1.0,0.0,0.0
23.png,True,0.5078,0,22,253,149,145,256,160,256,0.9033,0.8531,0.986,0.9611,0.978,87.38,582.43,1905.8,0.9929,0.9859,0.6017,0.4303,0.8252,0.7025,1.0,1.0,1.0,1.0,1.0,1.0
1679.png,True,0.4915,0,100,256,173,83,256,96,256,0.8481,0.8024,0.9623,0.8318,0.9144,69.14,278.43,1991.63,0.9802,0.9612,0.806,0.675,1.0,1.0,1.0,1.0,0.3023,0.178,1.0,1.0
298.png,True,0.5917,0,23,254,186,185,256,192,256,0.8293,0.7499,0.9842,0.8524,0.9656,54.38,525.68,1764.42,0.9923,0.9848,0.714,0.5552,0.7712,0.6276,0.4983,0.3318,1.0,1.0,1.0,1.0
2879.png,True,0.87,0,50,256,165,131,256,160,256,0.5189,0.4489,0.9599,0.7005,0.9727,51.18,461.07,2206.48,0.9772,0.9555,0.7588,0.6114,0.4838,0.3191,0.0,0.0,0.8936,0.8077,0.0,0.0
2814.png,True,0.5483,0,38,254,94,64,256,64,256,0.7562,0.6508,0.9147,0.7827,0.9502,57.7,197.85,1688.26,0.953,0.9102,0.7238,0.5672,0.8455,0.7323,0.3958,0.2468,0.6189,0.4481,1.0,1.0
658.png,True,0.5513,0,58,253,200,162,256,192,256,0.7256,0.6724,0.9893,0.7217,0.9187,48.78,451.07,2346.3,0.9946,0.9893,0.5833,0.4118,0.7755,0.6333,1.0,1.0,0.0,0.0,1.0,1.0
726.png,True,0.6307,0,33,255,138,119,256,128,256,0.8098,0.7916,0.9904,0.9863,0.9863,56.91,433.01,1965.83,0.995,0.9901,0.8635,0.7598,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
864.png,True,0.4811,0,93,256,149,64,256,64,256,0.7382,0.6942,0.957,0.7247,0.9259,82.2,270.66,1621.26,0.9769,0.9548,0.9144,0.8423,1.0,1.0,1.0,1.0,0.5382,0.3682,0.0,0.0
1086.png,True,0.5802,0,44,255,230,212,256,224,256,0.8847,0.8129,0.9888,0.8791,0.9707,89.46,627.23,2139.52,0.9949,0.9899,0.8176,0.6915,0.7166,0.5584,0.7788,0.6378,1.0,1.0,1.0,1.0
545.png,True,0.7526,0,109,255,167,66,256,96,256,0.8637,0.8247,0.9635,0.8541,0.9825,70.36,262.66,1623.36,0.9769,0.9549,0.3021,0.1779,1.0,1.0,0.9406,0.8878,0.9624,0.9275,1.0,1.0
1488.png,True,0.5592,0,104,256,177,83,256,96,256,0.888,0.8383,0.984,0.8687,0.9732,52.1,259.88,1445.23,0.9917,0.9835,0.826,0.7036,1.0,1.0,1.0,1.0,0.5106,0.3429,1.0,1.0
2325.png,True,0.5948,0,127,254,200,83,256,96,256,0.7022,0.5992,0.9413,0.7186,0.957,68.57,253.96,1663.43,0.9777,0.9563,0.7829,0.6432,0.5432,0.3728,0.6303,0.4602,0.2794,0.1624,1.0,1.0
853.png,True,0.6101,1,93,256,159,76,256,96,256,0.7027,0.6132,0.9339,0.8728,0.9758,52.12,261.0,1436.39,0.9704,0.9424,0.8555,0.7476,0.7877,0.6497,0.0,0.0,0.7648,0.6192,0.8375,0.7205
2684.png,True,0.6701,0,70,254,138,78,256,96,256,0.9324,0.8832,0.9812,0.9473,0.9795,50.18,263.49,3286.64,0.99,0.9803,0.773,0.63,1.0,1.0,0.9163,0.8456,0.915,0.8433,1.0,1.0
666.png,True,0.5764,0,76,252,190,130,256,160,256,0.7281,0.6721,0.9759,0.8812,0.9653,79.37,603.28,2265.81,0.9906,0.9814,0.6738,0.5081,0.704,0.5432,1.0,1.0,0.0,0.0,1.0,1.0
58.png,True,0.6801,0,84,254,187,117,256,128,256,0.9329,0.8814,0.9745,0.9474,0.9793,53.51,350.58,2095.56,0.9857,0.9719,0.8375,0.7204,1.0,1.0,0.9087,0.8327,0.8658,0.7633,1.0,1.0
1388.png,True,0.5495,0,35,255,161,144,256,160,256,0.9179,0.8698,0.9926,0.9701,0.9733,50.63,415.29,1839.92,0.9963,0.9925,0.6792,0.5142,1.0,1.0,0.8317,0.7119,1.0,1.0,1.0,1.0
848.png,True,0.5788,0,100,255,157,65,256,96,256,0.575,0.4678,0.9056,0.733,0.9393,49.89,274.82,1825.99,0.9476,0.9005,0.3667,0.2245,0.8351,0.7168,0.0,0.0,0.6766,0.5113,0.6242,0.4537
2913.png,True,0.4291,0,100,253,168,78,256,96,256,0.8834,0.8152,0.9694,0.879,0.9723,57.05,279.13,1706.85,0.9835,0.9675,0.6194,0.4486,0.8329,0.7137,0.8646,0.7615,1.0,1.0,1.0,1.0
2692.png,True,0.6651,0,112,256,182,80,256,96,256,0.8427,0.746,0.9565,0.8656,0.9634,70.44,369.94,117318.08,0.9771,0.9553,0.8487,0.7371,0.681,0.5163,0.8105,0.6814,1.0,1.0,0.7387,0.5856
2934.png,True,0.8582,0,69,255,178,125,256,128,256,0.7516,0.6925,0.9501,0.7805,0.9723,52.17,340.43,652.72,0.9696,0.9411,0.8357,0.7177,0.0,0.0,1.0,1.0,0.9161,0.8453,0.7884,0.6507
2317.png,True,0.6136,0,129,256,198,79,256,96,256,0.7065,0.6367,0.9396,0.6768,0.9441,66.47,284.81,1029.81,0.9657,0.9336,0.8274,0.7057,0.0,0.0,0.8809,0.7872,0.5652,0.3939,1.0,1.0
889.png,True,0.4309,1,91,256,136,51,256,64,256,0.7669,0.6791,0.9389,0.718,0.9517,77.91,337.6,981.14,0.965,0.9323,0.8,0.6667,0.6156,0.4447,0.9217,0.8548,0.2991,0.1759,1.0,1.0
634.png,True,0.6741,0,111,255,178,77,256,96,256,0.6887,0.5951,0.896,0.7795,0.9367,76.08,473.26,1212.28,0.9382,0.8835,0.5094,0.3418,0.8631,0.7592,0.6706,0.5045,0.1511,0.0817,1.0,1.0
458.png,True,0.5604,0,39,256,124,97,256,128,256,0.9284,0.8818,0.988,0.9482,0.9609,85.54,515.1,1126.68,0.9938,0.9877,0.8214,0.697,1.0,1.0,0.7549,0.6063,1.0,1.0,1.0,1.0
2449.png,True,0.5922,0,99,254,171,82,256,96,256,0.8362,0.7412,0.9732,0.8018,0.9713,81.2,378.2,836.6,0.986,0.9724,0.7982,0.6642,0.7102,0.5506,0.8806,0.7867,0.6423,0.4731,1.0,1.0
276.png,True,0.5868,0,77,256,131,62,256,64,256,0.9039,0.849,0.9774,0.8921,0.98,93.72,272.87,678.2,0.9875,0.9753,0.8743,0.7766,1.0,1.0,0.9459,0.8974,0.6159,0.445,1.0,1.0
1871.png,True,0.3012,0,145,252,188,49,256,64,256,0.7892,0.7178,0.9281,0.8273,0.9638,85.5,284.43,730.22,0.9604,0.9238,1.0,1.0,0.8788,0.7839,0.5912,0.4196,0.3046,0.1797,1.0,1.0
2087.png,True,0.8026,0,55,256,160,119,256,128,256,0.5556,0.4892,0.9288,0.9376,0.9756,93.35,496.98,936.63,0.9574,0.9183,0.7917,0.6553,0.0,0.0,0.0,0.0,0.9394,0.8856,0.645,0.4761
2419.png,True,0.5223,0,105,254,169,72,256,96,256,0.9,0.8331,0.974,0.9116,0.9663,51.18,315.92,668.66,0.9861,0.9725,0.8491,0.7378,1.0,1.0,0.8197,0.6945,0.7449,0.5935,1.0,1.0
1663.png,True,0.5317,0,98,256,158,68,256,96,256,0.9198,0.8725,0.9832,0.8996,0.9543,58.09,274.15,712.4,0.9913,0.9827,0.8525,0.743,1.0,1.0,1.0,1.0,0.6751,0.5095,1.0,1.0
885.png,True,0.4703,0,92,256,140,54,256,64,256,0.8793,0.8157,0.9557,0.8539,0.9723,53.48,183.36,749.26,0.9732,0.9479,0.7841,0.6449,1.0,1.0,0.9496,0.904,0.5689,0.3975,1.0,1.0
1745.png,True,0.6185,0,107,254,179,82,256,96,256,0.576,0.4938,0.9078,0.7171,0.9427,53.12,259.66,800.8,0.9459,0.8974,0.7786,0.6375,0.8413,0.7261,0.0,0.0,0.7855,0.6468,0.1047,0.0552
971.png,True,0.5433,0,123,254,188,75,256,96,256,0.8873,0.8219,0.9771,0.8576,0.9661,54.66,252.4,832.94,0.9876,0.9756,0.7868,0.6485,1.0,1.0,0.9147,0.8427,0.6344,0.4646,1.0,1.0
589.png,True,0.5617,0,92,255,189,111,256,128,256,0.8426,0.795,0.986,0.8529,0.9601,50.28,321.5,730.97,0.993,0.986,0.748,0.5975,0.3146,0.1867,1.0,1.0,1.0,1.0,1.0,1.0
2947.png,True,0.5972,0,86,255,195,125,256,128,256,0.7773,0.6823,0.971,0.7759,0.9635,49.57,346.15,890.61,0.9844,0.9694,0.8106,0.6815,0.4522,0.2922,0.8783,0.7829,1.0,1.0,0.5382,0.3681
185.png,True,0.5998,0,47,253,119,82,256,96,256,0.7232,0.6156,0.9665,0.7007,0.9677,60.39,256.5,791.96,0.9821,0.9649,0.7263,0.5702,0.72,0.5625,0.2105,0.1176,0.8464,0.7337,0.8537,0.7447
2764.png,True,0.6989,0,82,255,167,97,256,128,256,0.8836,0.8184,0.9511,0.878,0.9632,56.11,368.7,736.55,0.9709,0.9435,0.5771,0.4056,1.0,1.0,0.8743,0.7767,0.8794,0.7847,1.0,1.0
2841.png,True,0.6161,0,92,255,150,66,256,96,256,0.484,0.4543,0.9132,0.658,0.9433,56.87,271.4,727.74,0.9762,0.9535,0.0,0.0,0.0257,0.013,0.8429,0.7285,0.0593,0.0306,1.0,1.0
2617.png,True,0.6674,0,137,256,218,93,256,96,256,0.4657,0.3705,0.869,0.4657,0.8958,50.07,283.84,808.78,0.9451,0.8959,0.753,0.6038,0.3716,0.2282,0.1234,0.0657,0.0,0.0,0.601,0.4296
