fname,detected,yolo_conf,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
2506.png,True,0.4468,0,114,254,160,52,256,64,256,0.7524,0.6513,0.9609,0.8382,0.9672,46.38,158.95,243.35,0.9813,0.9633,0.7197,0.5621,0.8596,0.7537,0.4286,0.2727,0.5251,0.356,1.0,1.0
1531.png,True,0.7496,0,87,256,225,158,256,160,256,0.7813,0.7496,0.9847,0.8067,0.9922,45.31,403.7,1215.63,0.991,0.9822,0.723,0.5662,0.0,0.0,1.0,1.0,0.9739,0.9491,1.0,1.0
103.png,True,0.5923,0,81,256,178,111,256,128,256,0.6538,0.5531,0.9469,0.8079,0.9879,45.38,315.33,1985.23,0.9666,0.9353,0.6787,0.5136,0.9006,0.8192,0.7101,0.5505,0.6667,0.5,0.0,0.0
1594.png,True,0.5913,0,103,253,198,109,256,128,256,0.805,0.7293,0.9574,0.9516,0.9852,48.14,291.2,824.33,0.9771,0.9551,0.3608,0.2201,0.675,0.5094,0.8174,0.6912,1.0,1.0,1.0,1.0
2881.png,True,0.8562,0,49,256,161,128,256,128,256,0.8513,0.7642,0.9709,0.9789,0.9925,82.98,437.99,2059.34,0.9822,0.9651,0.651,0.4826,0.8056,0.6744,0.7233,0.5666,0.9455,0.8966,1.0,1.0
2007.png,True,0.3014,0,126,254,172,52,256,64,256,0.9136,0.8605,0.9389,0.9435,0.9602,74.64,228.81,1042.21,0.9634,0.9294,0.6904,0.5272,1.0,1.0,1.0,1.0,0.8279,0.7064,1.0,1.0
0.png,True,0.7026,0,0,254,118,126,256,128,256,0.8818,0.8285,0.9781,0.9555,0.9843,47.04,288.4,5309.25,0.9888,0.9778,0.5197,0.3511,0.7823,0.6424,1.0,1.0,1.0,1.0,1.0,1.0
1891.png,True,0.6248,0,0,255,199,213,256,224,256,0.9112,0.8652,0.9887,0.9694,0.9846,44.89,519.29,1072.9,0.9943,0.9886,0.6015,0.4301,0.8715,0.7723,1.0,1.0,1.0,1.0,1.0,1.0
1150.png,True,0.5389,0,105,255,204,113,256,128,256,0.82,0.7207,0.9702,0.866,0.9921,44.89,295.71,1471.94,0.9855,0.9713,0.795,0.6598,0.7962,0.6615,0.5634,0.3922,0.7799,0.6392,1.0,1.0
2267.png,True,0.7063,0,8,256,148,158,256,160,256,0.8761,0.8026,0.9842,0.9144,0.9733,45.62,359.82,1432.49,0.9919,0.9839,0.6883,0.5247,0.8387,0.7222,1.0,1.0,1.0,1.0,0.7378,0.5846
2960.png,True,0.4465,0,91,254,187,110,256,128,256,0.6962,0.5996,0.9478,0.8051,0.9633,71.24,423.7,1750.05,0.9759,0.953,0.7772,0.6356,0.7562,0.608,0.349,0.2114,1.0,1.0,0.3187,0.1896
23.png,True,0.5078,0,22,253,149,145,256,160,256,0.8454,0.7873,0.9797,0.9886,0.9901,75.7,506.6,1595.86,0.9896,0.9794,0.5828,0.4112,0.5,0.3333,1.0,1.0,1.0,1.0,1.0,1.0
1679.png,True,0.4915,0,100,256,173,83,256,96,256,0.7517,0.7007,0.9668,0.9518,0.9742,47.34,242.2,1718.0,0.9823,0.9652,0.7281,0.5724,1.0,1.0,0.0,0.0,0.8,0.6667,1.0,1.0
298.png,True,0.5917,0,23,254,186,185,256,192,256,0.8811,0.8081,0.9842,0.9468,0.9872,46.11,433.3,1189.83,0.9923,0.9846,0.7091,0.5494,0.7655,0.62,0.8197,0.6944,1.0,1.0,1.0,1.0
2879.png,True,0.87,0,50,256,165,131,256,160,256,0.5504,0.4847,0.9554,0.7789,0.9895,45.15,342.42,947.3,0.9733,0.948,0.8,0.6667,0.6041,0.4328,0.0,0.0,0.9253,0.8609,0.0,0.0
2814.png,True,0.5483,0,38,254,94,64,256,64,256,0.7639,0.6597,0.917,0.8621,0.9797,45.84,157.95,821.79,0.9531,0.9105,0.4898,0.3243,0.8681,0.767,0.5143,0.3462,0.758,0.6103,1.0,1.0
658.png,True,0.5513,0,58,253,200,162,256,192,256,0.7098,0.6398,0.9845,0.8213,0.9684,46.44,438.98,2110.38,0.9923,0.9848,0.6622,0.495,0.3627,0.2215,1.0,1.0,0.2418,0.1375,1.0,1.0
726.png,True,0.6307,0,33,255,138,119,256,128,256,0.8041,0.783,0.9856,0.9921,0.9922,46.7,281.63,1589.13,0.9925,0.9852,0.8322,0.7127,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
864.png,True,0.4811,0,93,256,149,64,256,64,256,0.8381,0.778,0.9701,0.8517,0.9798,45.13,172.93,1291.41,0.9835,0.9676,0.8539,0.7451,1.0,1.0,1.0,1.0,0.8632,0.7593,0.3279,0.1961
