fname,detected,roi_confidence,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
2506.png,True,0.5621,0,91,256,173,82,256,96,256,0.694,0.6151,0.9698,0.724,0.9562,1.67,270.58,345.11,0.9867,0.9738,0.7894,0.6521,0.6647,0.4978,0.7234,0.5667,0.0,0.0,1.0,1.0
1531.png,True,0.6629,0,63,256,224,161,256,192,256,0.7851,0.7535,0.9844,0.7893,0.9903,1.46,494.31,1138.8,0.9911,0.9823,0.7547,0.606,0.0,0.0,1.0,1.0,0.965,0.9324,1.0,1.0
103.png,True,0.8829,0,91,256,177,86,256,96,256,0.4079,0.3157,0.8144,0.5497,0.8971,1.5,242.51,960.53,0.8966,0.8126,0.7,0.5385,0.4785,0.3145,0.3722,0.2287,0.0,0.0,0.0,0.0
1594.png,True,0.9304,0,96,256,213,117,256,128,256,0.8567,0.7883,0.9775,0.9193,0.9609,1.94,455.89,2303.44,0.9882,0.9766,0.4907,0.3251,0.8851,0.7938,0.7763,0.6343,1.0,1.0,1.0,1.0
2881.png,True,0.8028,0,92,256,184,92,256,96,256,0.6441,0.5565,0.8736,0.6982,0.8916,1.54,233.67,1481.9,0.9294,0.8681,0.7525,0.6033,0.0,0.0,0.7316,0.5768,0.4508,0.291,1.0,1.0
2007.png,True,0.8133,0,112,256,181,69,256,96,256,0.6966,0.6436,0.9475,0.8289,0.9465,1.64,247.46,2760.88,0.9708,0.9432,0.4167,0.2632,0.0,0.0,1.0,1.0,0.7919,0.6555,1.0,1.0
0.png,True,0.7521,0,31,256,138,107,256,128,256,0.7552,0.7254,0.9834,0.7692,0.9028,2.49,343.98,2066.82,0.9916,0.9833,0.5394,0.3693,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1891.png,True,0.9108,0,118,256,195,77,256,96,256,0.7596,0.7269,0.9624,0.7419,0.8688,1.56,237.2,3150.42,0.9807,0.962,0.564,0.3928,0.013,0.0066,1.0,1.0,1.0,1.0,1.0,1.0
1150.png,True,0.6866,0,114,256,211,97,256,128,256,0.6995,0.6208,0.9619,0.7278,0.9675,2.2,440.5,2278.73,0.9848,0.97,0.6929,0.5301,0.7636,0.6176,0.7556,0.6071,0.0,0.0,1.0,1.0
2267.png,True,0.8815,0,45,256,162,117,256,128,256,0.5067,0.4535,0.9713,0.6759,0.9133,1.9,413.55,1955.49,0.9856,0.9716,0.6895,0.5262,0.3649,0.2231,0.0,0.0,1.0,1.0,0.0,0.0
