fname,detected,roi_confidence,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
2506.png,True,0.5621,0,91,256,173,82,256,96,256,0.7961,0.6864,0.9614,0.933,0.9861,1.53,244.37,285.17,0.98,0.9607,0.7221,0.5651,0.6479,0.4792,0.7619,0.6154,0.6648,0.4979,1.0,1.0
1531.png,True,0.6629,0,63,256,224,161,256,192,256,0.7816,0.7499,0.985,0.801,0.9916,1.39,480.53,1177.12,0.9913,0.9827,0.7255,0.5692,0.0,0.0,1.0,1.0,0.9729,0.9473,1.0,1.0
103.png,True,0.8829,0,91,256,177,86,256,96,256,0.6022,0.5012,0.9265,0.7025,0.9773,1.95,355.01,1043.72,0.9501,0.905,0.6683,0.5019,0.8886,0.7996,0.7182,0.5603,0.3877,0.2404,0.0,0.0
1594.png,True,0.9304,0,96,256,213,117,256,128,256,0.7942,0.7174,0.9553,0.9571,0.9841,1.88,460.6,2758.19,0.9762,0.9535,0.3498,0.212,0.6299,0.4597,0.809,0.6793,1.0,1.0,1.0,1.0
2881.png,True,0.8028,0,92,256,184,92,256,96,256,0.8024,0.7042,0.935,0.9438,0.9803,1.51,224.59,2613.51,0.9625,0.9278,0.6606,0.4932,0.8203,0.6954,0.4936,0.3276,0.8771,0.7811,1.0,1.0
2007.png,True,0.8133,0,112,256,181,69,256,96,256,0.9154,0.8669,0.9599,0.9512,0.9755,1.51,230.85,2094.41,0.9769,0.9548,0.6459,0.477,1.0,1.0,1.0,1.0,0.8698,0.7696,1.0,1.0
0.png,True,0.7521,0,31,256,138,107,256,128,256,0.8778,0.8242,0.9766,0.9786,0.9885,1.52,295.65,2008.63,0.988,0.9763,0.504,0.3369,0.7748,0.6324,1.0,1.0,1.0,1.0,1.0,1.0
1891.png,True,0.9108,0,118,256,195,77,256,96,256,0.9245,0.8783,0.977,0.9691,0.9844,1.44,227.25,1930.62,0.988,0.9764,0.6953,0.533,0.8638,0.7602,1.0,1.0,1.0,1.0,1.0,1.0
1150.png,True,0.6866,0,114,256,211,97,256,128,256,0.8091,0.7066,0.9634,0.8578,0.99,1.98,424.04,3472.11,0.9826,0.9657,0.8187,0.693,0.7651,0.6195,0.5618,0.3906,0.7265,0.5705,1.0,1.0
2267.png,True,0.8815,0,45,256,162,117,256,128,256,0.8791,0.8082,0.9794,0.9132,0.9711,1.48,285.25,2757.68,0.9893,0.9787,0.6518,0.4834,0.8695,0.7691,1.0,1.0,1.0,1.0,0.7638,0.6179
2960.png,True,0.8426,0,112,256,186,74,256,96,256,0.7107,0.6197,0.9311,0.8253,0.9699,1.38,242.14,1504.47,0.9649,0.9322,0.7734,0.6305,0.8604,0.755,0.378,0.233,1.0,1.0,0.2873,0.1678
23.png,True,0.8628,0,70,256,163,93,256,96,256,0.8492,0.7899,0.9698,0.8971,0.9757,1.42,228.85,1518.77,0.9848,0.9701,0.5319,0.3623,0.5786,0.4071,1.0,1.0,1.0,1.0,1.0,1.0
1679.png,True,0.8605,0,109,256,186,77,256,96,256,0.5865,0.5363,0.9648,0.9493,0.9734,1.43,237.99,2434.55,0.9812,0.9631,0.7184,0.5606,0.0,0.0,0.0,0.0,0.8195,0.6942,1.0,1.0
298.png,True,0.8303,0,109,256,200,91,256,96,256,0.8693,0.7932,0.9691,0.9366,0.9859,1.42,237.43,2538.33,0.9848,0.9701,0.6488,0.4801,0.7849,0.646,0.7972,0.6628,1.0,1.0,1.0,1.0
2879.png,True,0.7557,0,29,256,200,171,256,192,256,0.52,0.4561,0.9636,0.7306,0.9903,1.66,645.51,2451.64,0.9799,0.9605,0.7851,0.6462,0.4353,0.2782,0.0,0.0,0.9199,0.8516,0.0,0.0
2814.png,True,0.7426,0,3,256,120,117,256,128,256,0.707,0.6025,0.9241,0.8169,0.9812,1.6,297.61,1855.0,0.9594,0.922,0.4989,0.3323,0.8392,0.7229,0.3396,0.2045,0.6046,0.4333,1.0,1.0
658.png,True,0.8924,0,106,256,212,106,256,128,256,0.6978,0.6394,0.978,0.8095,0.9672,1.53,298.78,2078.88,0.9887,0.9776,0.6495,0.4809,0.5484,0.3778,1.0,1.0,0.0,0.0,1.0,1.0
726.png,True,0.8718,0,42,256,119,77,256,96,256,0.8055,0.7847,0.9775,0.99,0.99,1.91,232.54,2630.41,0.988,0.9763,0.8452,0.7319,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
864.png,True,0.744,0,68,256,156,88,256,96,256,0.7437,0.6843,0.9828,0.9364,0.9834,1.48,230.25,2513.03,0.9908,0.9818,0.8196,0.6944,1.0,1.0,0.0,0.0,0.9218,0.855,0.73,0.5748
1086.png,True,0.8106,0,60,256,229,169,256,192,256,0.8773,0.8026,0.9813,0.9369,0.9791,1.45,600.44,2705.28,0.9907,0.9815,0.7256,0.5693,0.8063,0.6755,0.7415,0.5891,1.0,1.0,1.0,1.0
545.png,True,0.7119,0,72,256,175,103,256,128,256,0.946,0.9031,0.9649,0.9831,0.9928,2.36,430.94,1656.42,0.9793,0.9594,0.8873,0.7974,1.0,1.0,0.8472,0.735,0.962,0.9268,1.0,1.0
1488.png,True,0.7451,0,66,256,197,131,256,160,256,0.8882,0.8367,0.9875,0.8902,0.9803,1.52,381.46,1826.6,0.9936,0.9872,0.8002,0.6669,1.0,1.0,1.0,1.0,0.5357,0.3659,1.0,1.0
2325.png,True,0.9011,0,128,256,201,73,256,96,256,0.8315,0.7296,0.9419,0.8911,0.9816,1.91,230.56,1603.94,0.9714,0.9443,0.8144,0.6869,0.7841,0.6449,0.6765,0.5112,0.7426,0.5906,1.0,1.0
853.png,True,0.7551,0,70,256,156,86,256,96,256,0.8664,0.7748,0.9373,0.9298,0.9851,1.7,234.89,2467.35,0.9701,0.9419,0.8279,0.7063,0.8007,0.6676,1.0,1.0,0.7954,0.6603,0.8043,0.6727
2684.png,True,0.8672,0,68,256,146,78,256,96,256,0.9052,0.8441,0.9694,0.9586,0.9836,1.82,250.83,2776.17,0.9836,0.9677,0.6879,0.5242,1.0,1.0,0.8542,0.7455,0.9054,0.8272,1.0,1.0
666.png,True,0.8018,0,53,256,212,159,256,160,256,0.7413,0.688,0.9477,0.9436,0.9772,1.46,365.34,1584.95,0.9733,0.948,0.6584,0.4907,0.8161,0.6893,1.0,1.0,0.0,0.0,1.0,1.0
58.png,True,0.8368,0,90,256,172,82,256,96,256,0.9292,0.8759,0.9612,0.9851,0.9916,1.58,337.71,2620.08,0.9766,0.9544,0.8204,0.6954,1.0,1.0,0.8468,0.7343,0.9311,0.8712,1.0,1.0
1388.png,True,0.8822,0,69,256,161,92,256,96,256,0.5125,0.4548,0.9445,0.9743,0.9775,1.55,232.15,2039.79,0.9711,0.9438,0.6819,0.5173,0.0,0.0,0.4221,0.2675,0.0,0.0,1.0,1.0
848.png,True,0.8337,0,72,256,149,77,256,96,256,0.8801,0.7981,0.9528,0.9587,0.986,1.88,265.8,1906.29,0.9732,0.9478,0.8808,0.7871,0.8557,0.7478,1.0,1.0,0.8599,0.7542,0.711,0.5516
2913.png,True,0.7791,0,89,256,191,102,256,128,256,0.6378,0.5533,0.9364,0.9404,0.9861,1.55,326.78,2874.26,0.9662,0.9347,0.6995,0.5379,0.7247,0.5682,0.4367,0.2793,0.0,0.0,1.0,1.0
2692.png,True,0.7936,0,86,256,193,107,256,128,256,0.8658,0.7769,0.975,0.9089,0.9702,1.45,300.39,2750.01,0.9879,0.9762,0.8171,0.6908,0.7846,0.6456,0.7431,0.5912,1.0,1.0,0.8622,0.7577
2934.png,True,0.9078,0,62,256,178,116,256,128,256,0.8543,0.7672,0.9579,0.8941,0.9872,1.86,440.0,2920.76,0.9724,0.9463,0.7868,0.6485,0.6409,0.4716,1.0,1.0,0.9462,0.898,0.7796,0.6388
2317.png,True,0.857,0,128,256,200,72,256,96,256,0.7836,0.6864,0.9369,0.7808,0.9629,1.61,339.71,1509.22,0.9637,0.9299,0.8338,0.7149,0.4333,0.2766,0.8656,0.7631,0.6049,0.4336,1.0,1.0
889.png,True,0.8576,0,72,256,151,79,256,96,256,0.872,0.7849,0.9637,0.9193,0.9914,1.5,225.97,1494.06,0.9833,0.9671,0.848,0.7361,0.8327,0.7134,0.8195,0.6942,0.7487,0.5983,1.0,1.0
634.png,True,0.7603,0,100,256,191,91,256,96,256,0.7239,0.6165,0.9158,0.8632,0.9621,1.4,230.62,1471.01,0.9541,0.9122,0.4532,0.293,0.8473,0.735,0.6364,0.4667,0.4524,0.2923,1.0,1.0
458.png,True,0.8188,0,66,256,138,72,256,96,256,0.8975,0.8477,0.9762,0.9846,0.9869,1.52,254.01,2509.04,0.9875,0.9753,0.8406,0.725,1.0,1.0,0.5571,0.3861,1.0,1.0,1.0,1.0
2449.png,True,0.8911,0,93,256,170,77,256,96,256,0.8511,0.7553,0.9627,0.9249,0.9886,1.47,235.75,1429.87,0.9804,0.9615,0.7877,0.6498,0.739,0.5861,0.8271,0.7051,0.7726,0.6295,1.0,1.0
276.png,True,0.876,0,60,256,139,79,256,96,256,0.8756,0.8045,0.9686,0.8946,0.9809,1.57,300.44,1523.29,0.9829,0.9663,0.8408,0.7253,1.0,1.0,0.8241,0.7008,0.6056,0.4343,1.0,1.0
1871.png,True,0.784,0,128,256,205,77,256,96,256,0.5441,0.483,0.8636,0.7843,0.9708,2.14,352.08,3264.49,0.9236,0.8581,0.0,0.0,0.5359,0.366,0.8054,0.6742,0.0,0.0,1.0,1.0
