fname,detected,yolo_conf,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
892.png,True,0.5317,1,138,567,192,108,570,96,256,0.9366,0.8926,0.9795,0.9526,0.9659,152.64,227.68,451.94,0.9891,0.9785,0.8268,0.7047,1.0,1.0,0.8039,0.6722,1.0,1.0,1.0,1.0
687.png,True,0.4175,0,165,412,237,144,556,128,256,0.814,0.7153,0.9289,0.8594,0.9476,155.84,309.6,542.07,0.9616,0.926,0.6992,0.5376,0.692,0.5291,0.9302,0.8694,0.601,0.4296,1.0,1.0
533.png,True,0.5664,2,164,567,242,156,570,128,256,0.8663,0.8072,0.976,0.8917,0.9359,153.21,388.15,614.88,0.9878,0.9758,0.6195,0.4488,1.0,1.0,0.5904,0.4188,1.0,1.0,1.0,1.0
2913.png,True,0.4376,0,182,368,240,116,497,96,224,0.8278,0.7426,0.951,0.8665,0.9587,485.45,528.93,1160.37,0.9759,0.9529,0.6162,0.4453,0.7625,0.6162,0.6122,0.4411,1.0,1.0,1.0,1.0
1112.png,True,0.8425,0,135,569,268,265,570,192,256,0.635,0.5153,0.949,0.7424,0.9723,480.82,1260.87,1895.63,0.9833,0.9671,0.669,0.5027,0.1415,0.0761,0.5838,0.4122,0.8133,0.6853,0.6194,0.4486
154.png,True,0.4789,2,125,512,249,248,570,192,256,0.6784,0.6114,0.9716,0.7124,0.9795,172.67,407.48,655.69,0.9848,0.9701,1.0,1.0,0.9049,0.8263,0.4355,0.2784,0.0,0.0,0.7452,0.5939
49.png,True,0.5079,0,153,563,262,217,570,160,256,0.9209,0.8635,0.9716,0.9341,0.9763,152.54,366.62,594.96,0.9843,0.9691,0.8331,0.7139,1.0,1.0,0.9091,0.8333,0.7987,0.6649,1.0,1.0
2130.png,True,0.5607,4,186,569,256,140,570,96,256,0.8981,0.8309,0.9772,0.9512,0.9822,151.63,229.73,451.03,0.9879,0.9761,0.7393,0.5864,1.0,1.0,0.8012,0.6683,0.86,0.7544,1.0,1.0
1418.png,True,0.7424,1,32,549,177,249,570,192,256,0.9051,0.8418,0.9869,0.9299,0.9644,264.44,652.32,1011.6,0.9932,0.9865,0.7372,0.5838,0.8798,0.7854,1.0,1.0,0.8202,0.6952,1.0,1.0
2449.png,True,0.6046,31,167,568,240,145,570,128,256,0.8162,0.7141,0.9719,0.778,0.9657,233.9,428.88,752.16,0.9857,0.9718,0.6863,0.5224,0.6291,0.4589,0.8367,0.7193,0.7594,0.6121,1.0,1.0
