fname,detected,yolo_conf,box_x1,box_y1,box_x2,box_y2,crop_h,crop_w,seg_input_h,seg_input_w,dice,iou,pixel_accuracy,sensitivity,specificity,t_detect_ms,t_seg_ms,t_total_ms,dice_Background,iou_Background,dice_Retinal Layer,iou_Retinal Layer,dice_PED,iou_PED,dice_SRF,iou_SRF,dice_IRF,iou_IRF,dice_RPE,iou_RPE
2506.png,True,0.3338,4,182,569,226,62,570,64,256,0.634,0.5392,0.9179,0.7347,0.9418,180.61,185.52,443.16,0.9589,0.9211,0.589,0.4174,0.737,0.5835,0.1206,0.0642,0.3985,0.2489,1.0,1.0
1531.png,True,0.8286,0,143,568,317,244,570,192,256,0.7823,0.7504,0.985,0.8033,0.9908,163.96,482.35,721.2,0.9913,0.9828,0.732,0.5773,0.0,0.0,1.0,1.0,0.9704,0.9425,1.0,1.0
103.png,True,0.867,0,121,561,249,180,570,128,256,0.6234,0.5221,0.9536,0.8057,0.9895,164.89,322.09,562.97,0.972,0.9456,0.6597,0.4922,0.9156,0.8444,0.5832,0.4117,0.6097,0.4385,0.0,0.0
1594.png,True,0.4802,237,139,568,274,189,383,128,192,0.845,0.7638,0.9508,0.9351,0.978,165.35,296.31,543.46,0.9738,0.9489,0.6929,0.5301,0.5894,0.4179,0.8139,0.6862,1.0,1.0,1.0,1.0
2881.png,True,0.85,3,80,570,236,218,570,160,256,0.8419,0.7507,0.9719,0.9244,0.9916,162.09,437.6,691.11,0.9833,0.9671,0.6598,0.4923,0.7629,0.6167,0.7111,0.5517,0.9341,0.8764,1.0,1.0
2007.png,True,0.5445,106,200,568,254,76,533,64,256,0.907,0.8581,0.9469,0.9377,0.9722,162.45,184.62,420.1,0.9677,0.9373,0.5904,0.4189,1.0,1.0,1.0,1.0,0.8841,0.7922,1.0,1.0
0.png,True,0.6805,36,0,553,170,204,570,160,256,0.8693,0.8132,0.9791,0.97,0.9843,168.28,408.29,650.6,0.9893,0.9788,0.5108,0.343,0.7158,0.5574,1.0,1.0,1.0,1.0,1.0,1.0
1891.png,True,0.2701,32,10,529,256,305,570,224,256,0.7515,0.7074,0.9893,0.8099,0.9878,164.44,569.33,806.95,0.9945,0.9891,0.6256,0.4551,0.8892,0.8004,0.0,0.0,1.0,1.0,1.0,1.0
1150.png,True,0.6527,0,187,549,287,140,570,96,256,0.762,0.682,0.9656,0.8132,0.9886,166.61,249.05,489.42,0.9822,0.9651,0.756,0.6077,0.8248,0.7018,0.1677,0.0915,0.8413,0.7261,1.0,1.0
2267.png,True,0.7705,1,30,445,182,212,512,160,256,0.8524,0.7719,0.9795,0.8763,0.9612,172.16,405.24,650.28,0.9895,0.9793,0.6691,0.5027,0.7787,0.6376,1.0,1.0,1.0,1.0,0.6772,0.512
2960.png,True,0.7131,0,149,569,260,155,570,128,256,0.6733,0.5751,0.938,0.7895,0.9564,167.38,434.45,674.36,0.9722,0.946,0.7744,0.6319,0.6701,0.5038,0.3158,0.1875,1.0,1.0,0.3069,0.1813
23.png,True,0.3457,82,58,570,204,204,561,160,256,0.8533,0.7951,0.9809,0.9806,0.9836,252.59,552.61,923.06,0.9902,0.9806,0.609,0.4378,0.5209,0.3521,1.0,1.0,1.0,1.0,1.0,1.0
1679.png,True,0.4607,4,178,566,248,98,570,96,256,0.5896,0.5408,0.9586,0.9322,0.973,258.06,351.39,713.67,0.9798,0.9604,0.7168,0.5586,0.0,0.0,0.0,0.0,0.8413,0.7261,1.0,1.0
298.png,True,0.3852,92,57,566,266,293,549,224,256,0.8262,0.7419,0.9823,0.8884,0.9831,254.78,749.57,1107.06,0.9919,0.984,0.7084,0.5484,0.6689,0.5025,0.5882,0.4167,1.0,1.0,1.0,1.0
2879.png,True,0.8807,0,84,570,238,216,570,160,256,0.5368,0.4684,0.9539,0.762,0.9892,247.54,579.59,921.4,0.9729,0.9473,0.7738,0.6311,0.5585,0.3875,0.0,0.0,0.9158,0.8447,0.0,0.0
2814.png,True,0.3606,238,60,567,125,91,381,64,192,0.5965,0.5455,0.8905,0.6098,0.966,255.89,277.55,626.93,0.9269,0.8638,0.0,0.0,0.8533,0.7442,0.0,0.0,0.7987,0.6649,1.0,1.0
658.png,True,0.2732,5,139,404,277,194,464,160,224,0.7966,0.7112,0.9836,0.8795,0.9755,223.13,392.49,713.14,0.9916,0.9833,0.6686,0.5022,0.6181,0.4473,1.0,1.0,0.5015,0.3346,1.0,1.0
726.png,True,0.541,4,55,568,184,181,570,128,256,0.793,0.7674,0.9814,0.9803,0.9803,180.42,319.76,573.99,0.9904,0.9809,0.7679,0.6232,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
864.png,True,0.6163,2,151,568,205,76,570,64,256,0.6611,0.5873,0.9256,0.805,0.9551,162.87,188.9,425.25,0.9592,0.9216,0.7795,0.6386,1.0,1.0,0.0,0.0,0.8384,0.7218,0.3893,0.2417
1086.png,True,0.705,0,111,537,296,259,570,192,256,0.843,0.7603,0.9791,0.9051,0.972,180.79,444.67,697.79,0.9901,0.9805,0.731,0.576,0.6396,0.4701,0.6972,0.5352,1.0,1.0,1.0,1.0
545.png,True,0.6778,1,176,569,233,79,570,64,256,0.9285,0.875,0.9244,0.959,0.9831,167.24,182.81,424.31,0.9462,0.8978,0.821,0.6964,1.0,1.0,0.8357,0.7177,0.9679,0.9378,1.0,1.0
1488.png,False,0.0,0,0,570,380,380,570,256,256,0.876,0.8244,0.9927,0.8787,0.9818,167.08,618.41,869.96,0.9963,0.9926,0.7774,0.6359,1.0,1.0,1.0,1.0,0.4824,0.3178,1.0,1.0
2325.png,True,0.7208,13,204,570,284,112,570,96,256,0.8328,0.7308,0.9413,0.8963,0.9822,179.46,260.0,512.65,0.9704,0.9425,0.7964,0.6617,0.7819,0.6419,0.6802,0.5153,0.7678,0.6231,1.0,1.0
853.png,True,0.7994,11,127,566,221,132,570,96,256,0.8781,0.7913,0.9408,0.9476,0.9858,161.99,255.97,492.87,0.9678,0.9377,0.8242,0.7009,0.8457,0.7327,1.0,1.0,0.8224,0.6984,0.8082,0.6782
2684.png,True,0.7038,0,117,567,196,111,570,96,256,0.9013,0.8407,0.966,0.9554,0.9795,185.6,260.23,536.83,0.9818,0.9642,0.6537,0.4856,1.0,1.0,0.853,0.7437,0.9194,0.8509,1.0,1.0
666.png,True,0.3395,59,155,487,267,156,551,128,256,0.7262,0.6686,0.9607,0.9437,0.9798,169.64,313.92,560.18,0.9807,0.9622,0.6803,0.5155,0.6962,0.534,1.0,1.0,0.0,0.0,1.0,1.0
58.png,True,0.647,1,135,567,253,166,570,128,256,0.9177,0.8596,0.9667,0.9847,0.993,171.7,320.22,576.47,0.981,0.9627,0.7753,0.6331,1.0,1.0,0.8274,0.7056,0.9224,0.8559,1.0,1.0
1388.png,True,0.6071,8,106,425,186,112,488,96,224,0.7925,0.7443,0.9576,0.9783,0.98,167.77,289.0,529.49,0.9779,0.9568,0.5542,0.3833,1.0,1.0,0.2228,0.1254,1.0,1.0,1.0,1.0
848.png,True,0.6457,75,130,565,214,118,569,96,256,0.8582,0.7665,0.9349,0.9545,0.9833,161.57,254.01,487.44,0.9619,0.9267,0.8445,0.7308,0.8815,0.7882,1.0,1.0,0.7597,0.6125,0.7018,0.5405
2913.png,True,0.4376,0,182,368,240,82,423,64,192,0.8263,0.7363,0.912,0.8914,0.9437,162.05,156.99,389.46,0.9504,0.9055,0.6346,0.4647,0.7251,0.5688,0.6475,0.4788,1.0,1.0,1.0,1.0
2692.png,True,0.6317,1,190,566,270,112,570,96,256,0.8815,0.8006,0.9694,0.9448,0.9809,175.83,286.84,37123.45,0.984,0.9685,0.7885,0.6508,0.9077,0.8309,0.7472,0.5965,1.0,1.0,0.8614,0.7566
2934.png,True,0.8664,0,108,568,221,159,570,128,256,0.8487,0.76,0.9548,0.8926,0.9851,167.25,321.81,566.89,0.97,0.9418,0.7644,0.6187,0.6315,0.4614,1.0,1.0,0.9488,0.9026,0.7773,0.6357
2317.png,True,0.7518,0,204,568,281,107,570,96,256,0.7211,0.6474,0.9249,0.7502,0.9586,170.02,280.68,525.3,0.9605,0.924,0.8146,0.6873,0.0,0.0,0.8285,0.7072,0.7228,0.566,1.0,1.0
889.png,True,0.5167,49,150,567,198,68,570,64,256,0.7329,0.6171,0.8808,0.7272,0.963,161.88,186.15,420.62,0.9414,0.8893,0.7737,0.631,0.5685,0.3971,0.6568,0.489,0.4568,0.296,1.0,1.0
634.png,True,0.8057,0,175,569,269,132,570,96,256,0.7713,0.6679,0.9285,0.896,0.9745,165.93,274.5,514.27,0.9608,0.9245,0.4103,0.2581,0.849,0.7377,0.6778,0.5127,0.7298,0.5746,1.0,1.0
458.png,True,0.4734,0,74,561,171,135,570,96,256,0.9024,0.8485,0.9783,0.9797,0.9827,166.28,256.76,498.53,0.9887,0.9776,0.769,0.6246,1.0,1.0,0.6568,0.489,1.0,1.0,1.0,1.0
