Split,Metric,Value
test,Loss,0.1997805775276252
test,Dice,0.7746874285595757
test,IoU,0.6958083813334559
test,Pixel Accuracy,0.9708905655604142
test,Sensitivity,0.8971176494372408
test,Specificity,0.9854083048118338
test,Dice_Background,0.9855419829651549
test,IoU_Background,0.9715916406322311
test,Dice_Retinal Layer,0.734690881784248
test,IoU_Retinal Layer,0.6163835537893145
test,Dice_PED,0.7002272138439526
test,IoU_PED,0.5900405159082875
test,Dice_SRF,0.7520650110065918
test,IoU_SRF,0.6646733483188736
test,Dice_IRF,0.6944206445191852
test,IoU_IRF,0.5964931955653661
test,Dice_RPE,0.781178735972145
test,IoU_RPE,0.7356679200857942
