Split,Metric,Value
test,Loss,0.28098731778169933
test,Dice,0.7582992235296651
test,IoU,0.6829546068844042
test,Pixel Accuracy,0.9643719453560679
test,Sensitivity,0.8690944030104999
test,Specificity,0.9796368311110294
test,Dice_Background,0.9824552492091531
test,IoU_Background,0.9657604838672437
test,Dice_Retinal Layer,0.7249905353325887
test,IoU_Retinal Layer,0.6115675823480801
test,Dice_PED,0.673861746886727
test,IoU_PED,0.5717068263767595
test,Dice_SRF,0.7360954940809205
test,IoU_SRF,0.6584982840950867
test,Dice_IRF,0.6476892880369868
test,IoU_IRF,0.5498476763510692
test,Dice_RPE,0.784702920419887
test,IoU_RPE,0.7403466782839356
