epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.469,1.40736,1.20176,1.58918,0.41223,0.47368,0.34889,0.07375,2.90659,1.81237,2.55949,3.32085e-05,3.32085e-05,0.0668247
2,397.642,1.30921,1.07771,1.52058,0.8422,0.81931,0.898,0.51507,1.39093,0.95343,1.34597,6.64768e-05,6.64768e-05,0.0335247
3,597.759,1.22352,1.02797,1.46806,0.89147,0.83772,0.92641,0.55238,1.29871,0.87436,1.33438,9.94853e-05,9.94853e-05,0.000224329
4,792.001,1.22736,1.00059,1.45146,0.89448,0.81793,0.91797,0.47175,1.56525,0.92907,1.45315,9.91232e-05,9.91232e-05,9.91232e-05
5,984.14,1.16086,0.9642,1.42126,0.88387,0.87719,0.93674,0.56299,1.28803,0.83224,1.28644,9.84449e-05,9.84449e-05,9.84449e-05
6,1176.64,1.17176,0.95487,1.41378,0.8605,0.84649,0.92428,0.54973,1.3195,0.85232,1.29463,9.75773e-05,9.75773e-05,9.75773e-05
7,1369.29,1.13727,0.95996,1.39825,0.86358,0.86072,0.93468,0.56542,1.32777,0.82887,1.2962,9.65239e-05,9.65239e-05,9.65239e-05
8,1561.06,1.13584,0.94894,1.3969,0.87662,0.84135,0.93463,0.61547,1.15504,0.78079,1.24593,9.52889e-05,9.52889e-05,9.52889e-05
9,1753.47,1.12151,0.9322,1.38738,0.86627,0.85232,0.93728,0.61736,1.20122,0.7957,1.26873,9.38772e-05,9.38772e-05,9.38772e-05
10,1945.57,1.1501,0.93692,1.39602,0.90287,0.85619,0.94221,0.62836,1.15072,0.78353,1.21006,9.22942e-05,9.22942e-05,9.22942e-05
11,2138.2,1.11623,0.92472,1.37689,0.83925,0.89035,0.93404,0.58158,1.29721,0.78944,1.29453,9.05463e-05,9.05463e-05,9.05463e-05
12,2330.39,1.09294,0.88186,1.35902,0.88301,0.87719,0.94023,0.60078,1.18826,0.77395,1.22549,8.86404e-05,8.86404e-05,8.86404e-05
13,2522.68,1.08694,0.8862,1.35225,0.88794,0.87939,0.94469,0.64941,1.10713,0.74852,1.2129,8.65839e-05,8.65839e-05,8.65839e-05
14,2717.88,1.0945,0.8886,1.35029,0.90351,0.86248,0.94535,0.6279,1.17619,0.77937,1.24147,8.43851e-05,8.43851e-05,8.43851e-05
15,2910.69,1.07558,0.87919,1.35139,0.89961,0.89474,0.95626,0.64537,1.12154,0.72903,1.19434,8.20525e-05,8.20525e-05,8.20525e-05
16,3102.83,1.06458,0.87333,1.33549,0.91716,0.88816,0.95162,0.68001,1.01175,0.71488,1.15495,7.95954e-05,7.95954e-05,7.95954e-05
17,3294.92,1.05448,0.87727,1.33965,0.87875,0.88816,0.95036,0.65526,1.07689,0.73663,1.1958,7.70234e-05,7.70234e-05,7.70234e-05
18,3486.2,1.05748,0.86628,1.33607,0.89358,0.89693,0.95313,0.66169,1.06678,0.72279,1.17891,7.43468e-05,7.43468e-05,7.43468e-05
19,3677.76,1.04168,0.86691,1.32691,0.90506,0.89474,0.95842,0.67943,1.03497,0.71207,1.15403,7.15761e-05,7.15761e-05,7.15761e-05
20,3869.92,1.0292,0.86589,1.31802,0.88577,0.90126,0.95411,0.65063,1.11459,0.72798,1.19365,6.87222e-05,6.87222e-05,6.87222e-05
21,4061.41,1.02424,0.83414,1.31403,0.89854,0.91277,0.9605,0.67998,1.0185,0.69216,1.14684,6.57963e-05,6.57963e-05,6.57963e-05
22,4253.08,1.02427,0.84355,1.32006,0.9298,0.9057,0.96239,0.68727,1.03013,0.69158,1.14897,6.28101e-05,6.28101e-05,6.28101e-05
23,4445.62,1.0078,0.82283,1.30232,0.89895,0.91691,0.95908,0.67745,1.03285,0.68428,1.16237,5.97754e-05,5.97754e-05,5.97754e-05
24,4637.36,1.01219,0.81997,1.29642,0.89857,0.90132,0.95347,0.68924,1.00151,0.69809,1.1661,5.6704e-05,5.6704e-05,5.6704e-05
