epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.247,1.69108,1.8554,1.79616,0.73486,0.71272,0.71255,0.30978,1.69355,1.53666,1.68434,0.000332085,0.000332085,0.0671236
2,256.483,1.62311,1.56091,1.72737,0.76577,0.75219,0.75301,0.29988,1.89516,1.41243,1.83104,0.000663778,0.000663778,0.034122
3,383.578,1.57322,1.45993,1.70086,0.79607,0.78728,0.80211,0.38213,1.71248,1.30402,1.61719,0.00098893,0.00098893,0.00111377
4,511.113,1.53011,1.41281,1.67929,0.77181,0.76974,0.79144,0.33611,1.8096,1.27498,1.71189,0.000977975,0.000977975,0.000977975
5,638.832,1.5006,1.38079,1.6564,0.81226,0.80044,0.84306,0.41934,1.57265,1.19952,1.55361,0.000961095,0.000961095,0.000961095
6,767.14,1.48772,1.34334,1.64083,0.8135,0.82263,0.85584,0.39561,1.75946,1.10865,1.61463,0.000939711,0.000939711,0.000939711
7,894.484,1.45325,1.31963,1.5999,0.8658,0.7807,0.85582,0.44631,1.54051,1.09882,1.55287,0.000914058,0.000914058,0.000914058
8,1022.29,1.41208,1.27829,1.5785,0.80995,0.80374,0.81699,0.41561,1.60465,1.11985,1.5218,0.000884415,0.000884415,0.000884415
9,1150.58,1.42312,1.23429,1.57287,0.85144,0.84208,0.88517,0.46557,1.49966,0.99907,1.49305,0.000851109,0.000851109,0.000851109
10,1278.18,1.39532,1.2393,1.5483,0.82124,0.81798,0.87273,0.4746,1.50827,1.06836,1.48704,0.000814503,0.000814503,0.000814503
11,1406.51,1.36147,1.22303,1.55296,0.80259,0.82456,0.86912,0.46641,1.5082,1.07741,1.46618,0.000775,0.000775,0.000775
12,1534.28,1.37447,1.22934,1.56127,0.86483,0.8443,0.88563,0.46509,1.57622,1.00647,1.51468,0.000733031,0.000733031,0.000733031
13,1662.47,1.35112,1.18698,1.53563,0.85284,0.82608,0.88215,0.41665,1.67221,0.99405,1.56072,0.000689058,0.000689058,0.000689058
14,1790.91,1.34512,1.16983,1.51148,0.82576,0.82456,0.8916,0.51724,1.43182,0.99823,1.41413,0.00064356,0.00064356,0.00064356
15,1920.56,1.28806,1.11843,1.48429,0.85271,0.83333,0.89936,0.50362,1.42253,0.9559,1.40876,0.000597038,0.000597038,0.000597038
16,2048.68,1.28146,1.12171,1.47575,0.84058,0.86184,0.90597,0.49019,1.49447,0.94204,1.43676,0.00055,0.00055,0.00055
17,2177.39,1.28507,1.11831,1.48484,0.8371,0.86842,0.90472,0.51886,1.41308,0.94617,1.40331,0.000502962,0.000502962,0.000502962
18,2306.58,1.26229,1.09702,1.4725,0.85663,0.85169,0.90534,0.5171,1.42014,0.92484,1.40275,0.00045644,0.00045644,0.00045644
19,2436.19,1.26312,1.10202,1.46867,0.86449,0.83991,0.91342,0.5392,1.36929,0.89928,1.35508,0.000410942,0.000410942,0.000410942
20,2565.19,1.236,1.07906,1.44982,0.85389,0.83304,0.89294,0.47312,1.5566,0.9511,1.44743,0.000366969,0.000366969,0.000366969
21,2727.03,1.11739,0.8429,1.44358,0.87368,0.8443,0.9111,0.53053,1.3894,0.92383,1.3616,0.000325,0.000325,0.000325
22,2864.71,1.06914,0.78577,1.40381,0.86445,0.85308,0.91832,0.51957,1.42078,0.88794,1.35584,0.000285497,0.000285497,0.000285497
23,2997.18,1.05353,0.77512,1.39405,0.85924,0.85678,0.9123,0.52579,1.39559,0.8927,1.35194,0.000248891,0.000248891,0.000248891
24,3125.75,1.0525,0.76866,1.38195,0.85655,0.8642,0.93312,0.55877,1.32932,0.85103,1.3316,0.000215585,0.000215585,0.000215585
25,3253.73,1.03516,0.74944,1.36865,0.86229,0.87886,0.92765,0.55736,1.30166,0.83886,1.30333,0.000185942,0.000185942,0.000185942
26,3382.47,1.0292,0.74255,1.36993,0.87964,0.86404,0.93411,0.57355,1.2506,0.82695,1.28511,0.000160289,0.000160289,0.000160289
27,3512.29,1.00596,0.72448,1.34836,0.88692,0.87723,0.93486,0.57232,1.26245,0.79049,1.29562,0.000138905,0.000138905,0.000138905
28,3641.29,0.97283,0.71496,1.32544,0.88119,0.87061,0.92998,0.57418,1.2982,0.81932,1.30704,0.000122025,0.000122025,0.000122025
29,3769.78,0.9893,0.72146,1.33798,0.90851,0.87281,0.93322,0.54968,1.37018,0.8165,1.33582,0.000109834,0.000109834,0.000109834
30,3898.13,0.97097,0.70069,1.32588,0.87796,0.88347,0.93986,0.596,1.23093,0.78533,1.26912,0.000102465,0.000102465,0.000102465
